Gene stable ID	Transcript stable ID
ENSG00000100393	ENST00000263253
ENSG00000009954	ENST00000339594
ENSG00000009954	ENST00000404251
ENSG00000100142	ENST00000442738
ENSG00000166012	ENST00000323981
ENSG00000166012	ENST00000526015
ENSG00000166012	ENST00000448108
ENSG00000137054	ENST00000377798
ENSG00000137054	ENST00000377792
ENSG00000117877	ENST00000309424
ENSG00000117877	ENST00000589804
ENSG00000125630	ENST00000263331
ENSG00000125630	ENST00000409894
ENSG00000125630	ENST00000417433
ENSG00000125630	ENST00000541869
ENSG00000125630	ENST00000537335
ENSG00000225830	ENST00000355832
ENSG00000112592	ENST00000230354
ENSG00000112592	ENST00000540980
ENSG00000112592	ENST00000392092
ENSG00000068654	ENST00000263857
ENSG00000132471	ENST00000585462
ENSG00000132471	ENST00000591399
ENSG00000132471	ENST00000591831
ENSG00000132471	ENST00000590221
ENSG00000132471	ENST00000586257
ENSG00000132471	ENST00000433525
ENSG00000132471	ENST00000589642
ENSG00000132471	ENST00000587374
ENSG00000132471	ENST00000593002
ENSG00000132471	ENST00000254806
ENSG00000132471	ENST00000626827
ENSG00000206502	ENST00000400662
ENSG00000206502	ENST00000383613
ENSG00000206502	ENST00000400660
ENSG00000206502	ENST00000400659
ENSG00000099817	ENST00000586746
ENSG00000099817	ENST00000615234
ENSG00000099817	ENST00000612655
ENSG00000147669	ENST00000353107
ENSG00000143498	ENST00000366890
ENSG00000143498	ENST00000352967
ENSG00000143498	ENST00000350027
ENSG00000132382	ENST00000254718
ENSG00000132382	ENST00000381556
ENSG00000117115	ENST00000375486
ENSG00000117115	ENST00000375481
ENSG00000066117	ENST00000394963
ENSG00000066117	ENST00000381513
ENSG00000101104	ENST00000255136
ENSG00000272333	ENST00000420124
ENSG00000130165	ENST00000586120
ENSG00000130165	ENST00000590700
ENSG00000130165	ENST00000252445
ENSG00000168036	ENST00000349496
ENSG00000117713	ENST00000457599
ENSG00000117713	ENST00000374152
ENSG00000049618	ENST00000346085
ENSG00000049618	ENST00000350026
ENSG00000049618	ENST00000636930
ENSG00000049618	ENST00000637810
ENSG00000149554	ENST00000427383
ENSG00000149554	ENST00000428830
ENSG00000149554	ENST00000544373
ENSG00000149554	ENST00000534070
ENSG00000149554	ENST00000524737
ENSG00000149554	ENST00000532449
ENSG00000149554	ENST00000438015
ENSG00000131263	ENST00000332687
ENSG00000131263	ENST00000349225
ENSG00000114867	ENST00000346169
ENSG00000114867	ENST00000414031
ENSG00000114867	ENST00000392537
ENSG00000114867	ENST00000382330
ENSG00000114867	ENST00000350481
ENSG00000114867	ENST00000342981
ENSG00000114867	ENST00000424196
ENSG00000114867	ENST00000434061
ENSG00000114867	ENST00000435046
ENSG00000114867	ENST00000352767
ENSG00000102081	ENST00000440235
ENSG00000102081	ENST00000370475
ENSG00000102081	ENST00000370470
ENSG00000102081	ENST00000218200
ENSG00000102081	ENST00000370471
ENSG00000055917	ENST00000338086
ENSG00000055917	ENST00000403432
ENSG00000055917	ENST00000361078
ENSG00000233911	ENST00000451077
ENSG00000233911	ENST00000429603
ENSG00000229094	ENST00000412166
ENSG00000229094	ENST00000434616
ENSG00000235068	ENST00000433063
ENSG00000235068	ENST00000419095
ENSG00000230336	ENST00000454714
ENSG00000230336	ENST00000433348
ENSG00000066044	ENST00000407627
ENSG00000066044	ENST00000596459
ENSG00000204531	ENST00000259915
ENSG00000256453	ENST00000542735
ENSG00000105329	ENST00000221930
ENSG00000206454	ENST00000376243
ENSG00000206454	ENST00000383524
ENSG00000237582	ENST00000437747
ENSG00000237582	ENST00000429314
ENSG00000172943	ENST00000338154
ENSG00000172943	ENST00000357988
ENSG00000172943	ENST00000322659
ENSG00000172943	ENST00000338946
ENSG00000197724	ENST00000359246
ENSG00000147854	ENST00000468435
ENSG00000147854	ENST00000276893
ENSG00000276043	ENST00000612630
ENSG00000276043	ENST00000615884
ENSG00000276043	ENST00000616255
ENSG00000276043	ENST00000624301
ENSG00000131845	ENST00000282286
ENSG00000131845	ENST00000391705
ENSG00000143379	ENST00000271640
ENSG00000143379	ENST00000368962
ENSG00000143379	ENST00000368969
ENSG00000130726	ENST00000253024
ENSG00000130726	ENST00000341753
ENSG00000111701	ENST00000229304
ENSG00000138336	ENST00000373644
ENSG00000111732	ENST00000229335
ENSG00000111732	ENST00000537228
ENSG00000138814	ENST00000394854
ENSG00000163874	ENST00000373087
ENSG00000196498	ENST00000356219
ENSG00000141027	ENST00000268712
ENSG00000141027	ENST00000395851
ENSG00000141027	ENST00000395848
ENSG00000091831	ENST00000338799
ENSG00000091831	ENST00000206249
ENSG00000091831	ENST00000440973
ENSG00000091831	ENST00000443427
ENSG00000134323	ENST00000281043
ENSG00000146648	ENST00000342916
ENSG00000146648	ENST00000344576
ENSG00000146648	ENST00000420316
ENSG00000146648	ENST00000275493
ENSG00000169032	ENST00000307102
ENSG00000126934	ENST00000262948
ENSG00000186666	ENST00000333924
ENSG00000114416	ENST00000357559
ENSG00000114416	ENST00000305586
ENSG00000114416	ENST00000445140
